Node ID,RDF URI,True Class,True URI,True Group Label,Predicted Class,Predicted URI,Predicted Group Label,Top Edge Index,Source URI,Predicate URI,Destination URI,Prediction Status
471,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1855instance,0,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Business Information and Communication Systems,0,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Business Information and Communication Systems,8747,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,http://swrc.ontoware.org/ontology#carriedOutBy,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1855instance,Correct
471,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1855instance,0,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Business Information and Communication Systems,0,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Business Information and Communication Systems,57371,Uwe Kersten,rel_51,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1855instance,Correct
471,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1855instance,0,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Business Information and Communication Systems,0,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Business Information and Communication Systems,55428,None,http://swrc.ontoware.org/ontology#title,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1855instance,Correct
471,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1855instance,0,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Business Information and Communication Systems,0,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Business Information and Communication Systems,12748,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2080instance,http://swrc.ontoware.org/ontology#member,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Correct
471,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1855instance,0,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Business Information and Communication Systems,0,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Business Information and Communication Systems,15846,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id52instance,http://swrc.ontoware.org/ontology#member,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance,Correct
659,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id60instance,2,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Knowledge Management,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,9316,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,http://swrc.ontoware.org/ontology#carriedOutBy,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id60instance,Wrong
659,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id60instance,2,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Knowledge Management,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,16489,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id64instance,http://swrc.ontoware.org/ontology#member,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Wrong
659,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id60instance,2,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Knowledge Management,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,14152,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2145instance,http://swrc.ontoware.org/ontology#member,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Wrong
659,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id60instance,2,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Knowledge Management,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,7984,http://www.aifb.uni-karlsruhe.de/Forschungsgebiete/viewForschungsgebietOWL/id79instance,http://www.aifb.uni-karlsruhe.de/WBS/dvr/owltools/merge/type,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id60instance,Wrong
659,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id60instance,2,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance,Knowledge Management,1,http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance,Efficient Algorithms,4995,http://www.aifb.uni-karlsruhe.de/Forschungsgebiete/viewForschungsgebietOWL/id102instance,http://www.aifb.uni-karlsruhe.de/WBS/dvr/owltools/merge/type,http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id60instance,Wrong
